Day,Hour,Net Load [MW],Electricity Price [$/MWh]
28,649,26492.25,56.43
28,650,25305.49,53.9
28,651,24275.13,51.7
28,652,25040.29,53.33
28,653,26543.42,56.53
28,654,28456.44,60.61
28,655,31625.99,67.36
28,656,32981.58,70.25
28,657,33889.77,72.18
28,658,34535.87,73.56
28,659,34818.7,74.16
28,660,34456.64,73.39
28,661,34266.46,72.98
28,662,34193.32,72.83
28,663,33483.83,71.32
28,664,33243.67,70.81
28,665,33932.44,72.27
28,666,36975.21,78.75
28,667,36446.14,77.63
28,668,35416.03,75.43
28,669,34066.54,72.56
28,670,31912.46,67.97
28,671,29787.65,63.44
28,672,27637.23,58.86
29,673,26035.39,55.45
29,674,24759.14,52.73
29,675,23636.03,50.34
29,676,24359.43,51.88
29,677,25392.45,54.08
29,678,26215.81,55.84
29,679,27106.94,57.74
29,680,28619.79,60.96
29,681,29610.89,63.07
29,682,30143.61,64.2
29,683,30345.98,64.63
29,684,29997.33,63.89
29,685,29445.09,62.72
29,686,29136.67,62.06
29,687,28667.34,61.06
29,688,28078.53,59.8
29,689,29164.71,62.12
29,690,33503.33,71.36
29,691,33571.6,71.5
29,692,33031.56,70.35
29,693,31844.2,67.82
29,694,30239.92,64.41
29,695,28527.14,60.76
29,696,26605.91,56.67
30,697,25431.96,54.17
30,698,24198.25,51.54
30,699,23633.27,50.34
30,700,23528.53,50.11
30,701,24649.67,52.5
30,702,25683.09,54.7
30,703,26331.62,56.08
30,704,27470.22,58.51
30,705,27856.66,59.33
30,706,28452.78,60.6
30,707,28535.68,60.78
30,708,28443.03,60.58
30,709,28087.07,59.82
30,710,27764.02,59.13
30,711,27560.43,58.7
30,712,27587.25,58.76
30,713,28779.49,61.3
30,714,33731.3,71.84
30,715,34321.32,73.1
30,716,33702.04,71.78
30,717,32359.86,68.92
30,718,30265.52,64.46
30,719,27766.45,59.14
30,720,25952.5,55.28
31,721,24990.14,53.23
31,722,24002.87,51.12
31,723,23771.51,50.63
31,724,24542.55,52.27
31,725,26455.97,56.35
31,726,29643.8,63.14
31,727,32363.52,68.93
31,728,33369.24,71.07
31,729,34008.02,72.43
31,730,34287.19,73.03
31,731,34285.97,73.03
31,732,33967.79,72.35
31,733,33691.07,71.76
31,734,33449.7,71.24
31,735,33010.83,70.31
31,736,32512.24,69.25
31,737,32997.43,70.28
31,738,37272.66,79.39
31,739,37311.67,79.47
31,740,36472.96,77.68
31,741,34893.06,74.32
31,742,32175.78,68.53
31,743,29318.31,62.45
31,744,26855.82,57.2
32,745,25939.97,55.25
32,746,25020.66,53.29
32,747,24087.84,51.3
32,748,25203.4,53.68
32,749,26887.51,57.27
32,750,29501.17,62.83
32,751,32452.51,69.12
32,752,33308.28,70.94
32,753,33591.11,71.55
32,754,33928.78,72.26
32,755,34188.44,72.82
32,756,33921.47,72.25
32,757,33791.03,71.97
32,758,33671.56,71.72
32,759,33270.49,70.86
32,760,32709.73,69.67
32,761,33004.74,70.3
32,762,36839.89,78.47
32,763,36810.63,78.4
32,764,35837.83,76.33
32,765,34378.62,73.22
32,766,32245.27,68.68
32,767,29464.6,62.76
32,768,27033.8,57.58
33,769,25455.31,54.22
33,770,24360.14,51.88
33,771,23280.67,49.59
33,772,24066.06,51.26
33,773,25842.82,55.04
33,774,28808.75,61.36
33,775,31847.85,67.83
33,776,32718.26,69.69
33,777,33283.9,70.89
33,778,33656.93,71.69
33,779,33899.53,72.2
33,780,33616.71,71.6
33,781,33656.93,71.69
33,782,33427.75,71.2
33,783,32946.22,70.17
33,784,32531.75,69.29
33,785,32875.52,70.02
33,786,36643.62,78.05
33,787,36618.02,77.99
33,788,35818.32,76.29
33,789,34078.73,72.58
33,790,31939.28,68.03
33,791,28791.68,61.32
33,792,26922.87,57.34
34,793,25823.91,55
34,794,24980.47,53.21
34,795,24232.65,51.61
34,796,25289.04,53.86
34,797,26972.85,57.45
34,798,29390.24,62.6
34,799,32261.12,68.71
34,800,32720.7,69.69
34,801,33510.65,71.37
34,802,33814.19,72.02
34,803,33876.37,72.15
34,804,33698.38,71.77
34,805,33449.7,71.24
34,806,33459.45,71.27
34,807,32965.73,70.21
34,808,32656.09,69.55
34,809,32959.63,70.2
34,810,36513.18,77.77
34,811,36664.35,78.09
34,812,35870.74,76.4
34,813,34630.96,73.76
34,814,31968.54,68.09
34,815,29203.72,62.2
34,816,26863.13,57.22
35,817,25783.44,54.92
35,818,24867.91,52.97
35,819,23924.81,50.96
35,820,24707.66,52.62
35,821,26050.28,55.48
35,822,28685.62,61.1
35,823,31989.27,68.13
35,824,32642.68,69.53
35,825,33325.35,70.98
35,826,33867.83,72.14
35,827,33973.89,72.36
35,828,33851.98,72.1
35,829,33687.41,71.75
35,830,33575.26,71.51
35,831,33042.53,70.38
35,832,32517.12,69.26
35,833,32707.29,69.66
35,834,35923.16,76.51
35,835,35564.76,75.75
35,836,34666.31,73.84
35,837,33285.12,70.89
35,838,31270.02,66.6
35,839,29107.42,62
35,840,27295.9,58.14
36,841,25598.97,54.52
36,842,25155.71,53.58
36,843,24253.78,51.66
36,844,23280.68,49.59
36,845,24077.46,51.28
36,846,25393.97,54.09
36,847,26494.98,56.43
36,848,27312.96,58.17
36,849,28985.51,61.74
36,850,29684.03,63.22
36,851,29946.13,63.78
36,852,29595.04,63.03
36,853,29142.77,62.07
36,854,28614.92,60.95
36,855,28193.12,60.05
36,856,28076.09,59.8
36,857,28997.7,61.76
36,858,33042.53,70.38
36,859,33091.29,70.48
36,860,32470.79,69.16
36,861,31501.64,67.1
36,862,29815.69,63.5
36,863,28027.33,59.7
36,864,26401.11,56.23
37,865,25228.38,53.73
37,866,24585.86,52.37
37,867,23460.6,49.97
37,868,23479.61,50.01
37,869,23909.11,50.92
37,870,24809.45,52.84
37,871,24963.84,53.17
37,872,26230.44,55.87
37,873,27592.13,58.77
37,874,28640.52,61
37,875,28985.51,61.74
37,876,28912.37,61.58
37,877,28783.15,61.31
37,878,28451.56,60.6
37,879,28023.67,59.69
37,880,27857.88,59.33
37,881,28786.8,61.31
37,882,32579.29,69.39
37,883,32953.54,70.19
37,884,32999.86,70.29
37,885,32061.19,68.29
37,886,29732.79,63.33
37,887,27798.15,59.21
37,888,25795.24,54.94
38,889,25539.36,54.4
38,890,24433.67,52.04
38,891,23479.47,50.01
38,892,24526.45,52.24
38,893,25916.48,55.2
38,894,28680.75,61.09
38,895,31528.46,67.15
38,896,32874.3,70.02
38,897,33787.37,71.96
38,898,34345.7,73.15
38,899,34524.9,73.53
38,900,34207.95,72.86
38,901,33797.13,71.98
38,902,33643.53,71.66
38,903,33108.36,70.52
38,904,32915.75,70.11
38,905,33397.28,71.13
38,906,37020.31,78.85
38,907,37254.37,79.35
38,908,36390.06,77.51
38,909,34886.96,74.31
38,910,32365.95,68.94
38,911,29847.38,63.57
38,912,27466.57,58.5
39,913,26341.73,56.11
39,914,25204.26,53.68
39,915,24278.33,51.71
39,916,24887.34,53.01
39,917,26612.26,56.68
39,918,29301.25,62.41
39,919,31913.68,67.97
39,920,33225.39,70.77
39,921,33736.17,71.85
39,922,33912.94,72.23
39,923,33962.92,72.34
39,924,33855.64,72.11
39,925,33644.74,71.66
39,926,33535.03,71.43
39,927,32918.19,70.11
39,928,32454.95,69.13
39,929,32960.85,70.2
39,930,36741.15,78.25
39,931,37011.78,78.83
39,932,36170.63,77.04
39,933,34468.83,73.42
39,934,32312.32,68.82
39,935,29602.35,63.05
39,936,27181.31,57.89
40,937,25721.19,54.78
40,938,24842.2,52.91
40,939,23688.41,50.45
40,940,24653.83,52.51
40,941,26497.39,56.44
40,942,29274.43,62.35
40,943,32651.21,69.54
40,944,33597.2,71.56
40,945,33682.54,71.74
40,946,33787.37,71.96
40,947,33815.41,72.02
40,948,33666.69,71.71
40,949,33644.74,71.66
40,950,33402.15,71.14
40,951,33070.57,70.44
40,952,32472.01,69.16
40,953,32669.5,69.58
40,954,36381.53,77.49
40,955,36600.96,77.96
40,956,35659.85,75.95
40,957,34097.01,72.62
40,958,31988.05,68.13
40,959,29335.38,62.48
40,960,27177.65,57.89
41,961,25480.34,54.27
41,962,24864.84,52.96
41,963,23798.52,50.69
41,964,24687.34,52.58
41,965,26415.74,56.26
41,966,29229.32,62.26
41,967,32246.49,68.68
41,968,33268.06,70.86
41,969,34042.16,72.51
41,970,34210.39,72.86
41,971,34123.83,72.68
41,972,33836.14,72.07
41,973,33780.06,71.95
41,974,33524.06,71.4
41,975,33054.72,70.4
41,976,32734.11,69.72
41,977,33099.83,70.5
41,978,36337.64,77.4
41,979,36698.48,78.16
41,980,35681.79,76
41,981,34136.02,72.71
41,982,31610.14,67.33
41,983,29509.7,62.85
41,984,26887.51,57.27
42,985,25972,55.32
42,986,24669.88,52.54
42,987,23739.96,50.56
42,988,24700.28,52.61
42,989,26169.72,55.74
42,990,28968.44,61.7
42,991,31989.27,68.13
42,992,33002.3,70.29
42,993,34187.22,72.82
42,994,34755.31,74.03
42,995,34858.92,74.25
42,996,34691.91,73.89
42,997,34328.64,73.12
42,998,33948.29,72.31
42,999,33516.74,71.39
42,1000,33358.27,71.05
42,1001,33916.59,72.24
42,1002,36561.95,77.87
42,1003,36202.33,77.11
42,1004,35047.88,74.65
42,1005,33722.76,71.83
42,1006,32039.25,68.24
42,1007,29790.09,63.45
42,1008,27482.41,58.53
43,1009,25780.93,54.91
43,1010,24393.43,51.96
43,1011,23621.61,50.31
43,1012,23349.37,49.73
43,1013,24362.29,51.89
43,1014,25996.38,55.37
43,1015,26669.3,56.8
43,1016,27620.17,58.83
43,1017,29123.26,62.03
43,1018,30079,64.07
43,1019,30310.62,64.56
43,1020,30176.53,64.27
43,1021,29744.98,63.35
43,1022,29130.58,62.05
43,1023,28635.64,60.99
43,1024,28606.38,60.93
43,1025,29403.65,62.63
43,1026,32799.94,69.86
43,1027,33151.03,70.61
43,1028,32147.74,68.47
43,1029,31181.03,66.41
43,1030,29790.09,63.45
43,1031,28230.91,60.13
43,1032,26267.01,55.95
44,1033,24926.05,53.09
44,1034,24311.93,51.78
44,1035,23122.51,49.25
44,1036,22269.68,47.43
44,1037,23181.73,49.37
44,1038,24823.65,52.87
44,1039,25274.7,53.83
44,1040,25776.95,54.9
44,1041,27443.4,58.45
44,1042,28339.41,60.36
44,1043,28942.84,61.65
44,1044,29086.69,61.95
44,1045,29068.41,61.91
44,1046,28908.71,61.57
44,1047,28713.66,61.16
44,1048,28929.43,61.62
44,1049,30082.66,64.07
44,1050,33369.24,71.07
44,1051,33848.33,72.09
44,1052,33221.73,70.76
44,1053,31839.32,67.81
44,1054,30031.46,63.96
44,1055,28039.52,59.72
44,1056,25752.57,54.85
45,1057,24183.74,51.51
45,1058,24153.64,51.44
45,1059,23088.24,49.18
45,1060,23961.07,51.03
45,1061,25483.16,54.28
45,1062,27972.47,59.58
45,1063,30633.67,65.25
45,1064,32117.27,68.41
45,1065,33175.41,70.66
